seed,octaves,frequency,sea_level,erosion_rate,deposition_rate,evaporation,inertia,capacity,droplet_life,erosion_iters,wind_angle,wind_strength,height_retention,elevation_variance,max_ridge_height,river_density,slope_variance,land_fraction
7212,5,2.34,0.42,0.388,0.604,0.0292,0.283,5.7,23,50000,96.1,1.38,0.7313,0.1286,0.1687,0.0000,0.0133,0.0179
5796,6,4.57,0.32,0.247,0.275,0.0107,0.088,7.2,26,10000,240.8,0.73,0.8937,0.1581,0.4945,0.0000,0.0465,0.2261
933,7,4.81,0.21,0.283,0.670,0.0199,0.167,4.3,34,200000,320.4,0.70,0.3193,0.0730,0.1518,0.0000,0.0062,0.0536
2378,5,1.62,0.35,0.172,0.319,0.0374,0.311,7.1,67,200000,6.0,1.96,0.2801,0.0601,-0.0464,0.0000,0.0059,0.0000
9986,6,5.09,0.45,0.038,0.479,0.0244,0.302,5.4,74,50000,343.2,1.44,0.8558,0.1547,0.1898,0.0000,0.0223,0.0330
4521,4,1.56,0.23,0.135,0.715,0.0123,0.231,1.1,75,200000,69.9,1.08,0.6128,0.1528,0.5338,0.0119,0.0242,0.2300
3555,4,2.49,0.27,0.405,0.668,0.0040,0.262,6.7,71,10000,198.4,1.46,0.9108,0.1540,0.4937,0.0035,0.0193,0.3003
3491,6,2.01,0.38,0.165,0.154,0.0361,0.345,7.0,66,50000,304.7,1.64,0.7254,0.1248,0.2439,0.0000,0.0132,0.0441
1381,6,2.83,0.50,0.275,0.592,0.0188,0.112,2.3,37,200000,211.3,1.10,0.4811,0.1079,-0.0243,0.0000,0.0118,0.0000
1419,6,4.41,0.39,0.107,0.425,0.0197,0.037,4.7,62,100000,180.7,1.10,0.6527,0.1215,0.2544,0.0000,0.0298,0.0333
1174,6,4.78,0.35,0.190,0.381,0.0199,0.185,5.7,40,10000,139.1,1.74,0.9386,0.1573,0.4432,0.0020,0.0258,0.2110
8480,4,5.27,0.25,0.093,0.479,0.0095,0.171,7.5,36,100000,83.1,0.84,0.4301,0.0922,0.2758,0.0040,0.0138,0.0756
3826,5,3.15,0.38,0.391,0.682,0.0244,0.050,5.1,75,200000,170.1,1.54,0.3064,0.0665,-0.0629,0.0000,0.0061,0.0000
